date,high_T,low_T,skycon,skycon2
2015/2/17,12,3,clear_day,clear_day
2015/2/18,11,1,partly_cloudy_day,cloudy
2015/2/19,10,4,cloudy,cloudy
2015/2/20,11,8,rain,rain
2015/2/21,11,3,cloudy,cloudy
2015/2/22,10,4,rain,rain
2015/2/23,12,4,cloudy,cloudy
2015/2/24,10,6,rain,rain
2015/2/25,10,6,cloudy,cloudy
2015/2/26,6,3,cloudy,cloudy
2015/2/27,4,2,rain,rain
2015/2/28,9,1,cloudy,cloudy
2015/3/1,13,2,clear_day,clear_day
2015/3/2,12,6,rain,rain
2015/3/3,6,1,partly_cloudy_day,cloudy
2015/3/4,5,1,cloudy,cloudy
2015/3/5,8,2,snow,snow
2015/3/6,12,3,partly_cloudy_day,cloudy
2015/3/7,10,5,cloudy,cloudy
2015/3/8,9,4,cloudy,cloudy
2015/3/9,7,0,partly_cloudy_day,cloudy
2015/3/10,11,-1,partly_cloudy_day,cloudy
2015/3/11,16,2,clear_day,clear_day
2015/3/12,19,6,clear_day,clear_day
2015/3/13,15,7,partly_cloudy_day,cloudy
2015/3/14,16,8,cloudy,cloudy
2015/3/15,17,10,cloudy,cloudy
2015/3/16,16,11,cloudy,cloudy
2015/3/17,14,12,rain,rain
2015/3/18,15,9,rain,rain
2015/3/19,14,9,rain,rain
2015/3/20,20,9,cloudy,cloudy
2015/3/21,19,8,partly_cloudy_day,cloudy
2015/3/22,16,7,partly_cloudy_day,cloudy
2015/3/23,15,6,partly_cloudy_day,cloudy
2015/3/24,17,7,partly_cloudy_day,cloudy
2015/3/25,15,6,partly_cloudy_day,cloudy
2015/3/26,16,9,rain,rain
2015/3/27,20,7,partly_cloudy_day,cloudy
2015/3/28,23,10,partly_cloudy_day,cloudy
2015/3/29,20,14,cloudy,cloudy
2015/3/30,26,16,partly_cloudy_day,cloudy
2015/3/31,23,17,partly_cloudy_day,cloudy
2015/4/1,25,14,cloudy,cloudy
2015/4/2,19,11,cloudy,cloudy
2015/4/3,14,10,rain,rain
2015/4/4,13,10,rain,rain
2015/4/5,11,7,rain,rain
2015/4/6,7,4,rain,rain
2015/4/7,12,2,cloudy,cloudy
2015/4/8,15,3,partly_cloudy_day,cloudy
2015/4/9,17,6,clear_day,clear_day
2015/4/10,19,7,partly_cloudy_day,cloudy
2015/4/11,21,9,partly_cloudy_day,cloudy
2015/4/12,13,7,partly_cloudy_day,cloudy
2015/4/13,19,6,cloudy,cloudy
2015/4/14,23,10,clear_day,clear_day
2015/4/15,21,13,cloudy,cloudy
2015/4/16,22,10,clear_day,clear_day
2015/4/17,26,15,cloudy,cloudy
2015/4/18,24,16,cloudy,cloudy
2015/4/19,17,10,rain,rain
2015/4/20,20,8,partly_cloudy_day,cloudy
2015/4/21,24,8,partly_cloudy_day,cloudy
2015/4/22,26,12,partly_cloudy_day,cloudy
2015/4/23,27,13,partly_cloudy_day,cloudy
2015/4/24,27,13,partly_cloudy_day,cloudy
2015/4/25,28,14,clear_day,clear_day
2015/4/26,28,15,clear_day,clear_day
2015/4/27,29,18,cloudy,cloudy
2015/4/28,22,17,rain,rain
2015/4/29,25,14,partly_cloudy_day,cloudy
2015/4/30,27,14,clear_day,clear_day
2015/5/1,20,16,rain,rain
2015/5/2,25,15,cloudy,cloudy
2015/5/3,24,15,partly_cloudy_day,cloudy
2015/5/4,24,12,cloudy,cloudy
2015/5/5,23,15,cloudy,cloudy
2015/5/6,27,16,partly_cloudy_day,cloudy
2015/5/7,27,17,partly_cloudy_day,cloudy
2015/5/8,26,15,partly_cloudy_day,cloudy
2015/5/9,26,15,partly_cloudy_day,cloudy
2015/5/10,26,15,partly_cloudy_day,cloudy
2015/5/11,26,15,partly_cloudy_day,cloudy
2015/5/12,26,15,partly_cloudy_day,cloudy
2015/5/13,29,20,clear_day,clear_day
2015/5/14,31,22,partly_cloudy_day,cloudy
2015/5/15,25,16,rain,rain
2015/5/16,24,15,partly_cloudy_day,cloudy
2015/5/17,26,18,partly_cloudy_day,cloudy
2015/5/18,25,17,rain,rain
2015/5/19,29,19,partly_cloudy_day,cloudy
2015/5/20,27,15,partly_cloudy_day,cloudy
2015/5/21,25,15,clear_day,clear_day
2015/5/22,28,18,clear_day,clear_day
2015/5/23,26,18,cloudy,cloudy
2015/5/24,27,19,partly_cloudy_day,cloudy
2015/5/25,29,19,clear_day,clear_day
2015/5/26,27,20,partly_cloudy_day,cloudy
2015/5/27,22,17,rain,rain
2015/5/28,27,20,cloudy,cloudy
2015/5/29,23,20,rain,rain
2015/5/30,26,19,partly_cloudy_day,cloudy
2015/5/31,27,19,partly_cloudy_day,cloudy
2015/6/1,31,23,partly_cloudy_day,cloudy
2015/6/2,25,19,rain,rain
2015/6/3,26,16,cloudy,cloudy
2015/6/4,26,19,partly_cloudy_day,cloudy
2015/6/5,28,19,clear_day,clear_day
2015/6/6,32,21,partly_cloudy_day,cloudy
2015/6/7,27,21,rain,rain
2015/6/8,27,20,cloudy,cloudy
2015/6/9,29,22,cloudy,cloudy
2015/6/10,28,21,cloudy,cloudy
2015/6/11,33,22,partly_cloudy_day,cloudy
2015/6/12,34,23,clear_day,clear_day
2015/6/13,33,25,partly_cloudy_day,cloudy
2015/6/14,32,23,partly_cloudy_day,cloudy
2015/6/15,28,21,rain,rain
2015/6/16,21,18,rain,rain
2015/6/17,22,18,rain,rain
2015/6/18,28,19,partly_cloudy_day,cloudy
2015/6/19,29,21,partly_cloudy_day,cloudy
2015/6/20,30,21,partly_cloudy_day,cloudy
2015/6/21,26,21,rain,rain
2015/6/22,26,21,cloudy,cloudy
2015/6/23,25,23,rain,rain
2015/6/24,26,22,rain,rain
2015/6/25,30,23,cloudy,cloudy
2015/6/26,26,21,rain,rain
2015/6/27,23,19,rain,rain
2015/6/28,24,21,rain,rain
2015/6/29,24,21,rain,rain
2015/6/30,27,21,rain,rain
2015/7/1,29,21,partly_cloudy_day,cloudy
2015/7/2,32,23,partly_cloudy_day,cloudy
2015/7/3,30,21,partly_cloudy_day,cloudy
2015/7/4,28,19,cloudy,cloudy
2015/7/5,28,19,cloudy,cloudy
2015/7/6,22,18,rain,rain
2015/7/7,24,19,rain,rain
2015/7/8,24,20,rain,rain
2015/7/9,27,22,cloudy,cloudy
2015/7/10,31,24,cloudy,cloudy
2015/7/11,27,23,rain,rain
2015/7/12,29,23,cloudy,cloudy
2015/7/13,35,25,partly_cloudy_day,cloudy
2015/7/14,35,25,clear_day,clear_day
2015/7/15,32,24,partly_cloudy_day,cloudy
2015/7/16,29,23,rain,rain
2015/7/17,25,22,rain,rain
2015/7/18,27,23,rain,rain
2015/7/19,26,24,rain,rain
2015/7/20,28,24,cloudy,cloudy
2015/7/21,30,24,partly_cloudy_day,cloudy
2015/7/22,31,25,partly_cloudy_day,cloudy
2015/7/23,31,25,rain,rain
2015/7/24,28,24,rain,rain
2015/7/25,29,25,rain,rain
2015/7/26,32,26,rain,rain
2015/7/27,35,27,partly_cloudy_day,cloudy
2015/7/28,36,27,partly_cloudy_day,cloudy
2015/7/29,37,28,partly_cloudy_day,cloudy
2015/7/30,35,27,clear_day,clear_day
2015/7/31,35,27,clear_day,clear_day
2015/8/1,35,27,cloudy,cloudy
2015/8/2,37,28,clear_day,clear_day
2015/8/3,37,28,clear_day,clear_day
2015/8/4,37,28,clear_day,clear_day
2015/8/5,37,28,partly_cloudy_day,cloudy
2015/8/6,35,26,partly_cloudy_day,cloudy
2015/8/7,34,26,partly_cloudy_day,cloudy
2015/8/8,33,26,partly_cloudy_day,cloudy
2015/8/9,30,25,rain,rain
2015/8/10,28,24,rain,rain
2015/8/11,28,23,cloudy,cloudy
2015/8/12,31,23,partly_cloudy_day,cloudy
2015/8/13,30,23,partly_cloudy_day,cloudy
2015/8/14,32,23,partly_cloudy_day,cloudy
2015/8/15,30,24,cloudy,cloudy
2015/8/16,30,23,partly_cloudy_day,cloudy
2015/8/17,31,24,partly_cloudy_day,cloudy
2015/8/18,30,23,partly_cloudy_day,cloudy
2015/8/19,30,24,cloudy,cloudy
2015/8/20,26,23,rain,rain
2015/8/21,29,23,cloudy,cloudy
2015/8/22,28,21,cloudy,cloudy
2015/8/23,28,21,cloudy,cloudy
2015/8/24,24,20,rain,rain
2015/8/25,29,21,partly_cloudy_day,cloudy
2015/8/26,30,22,partly_cloudy_day,cloudy
2015/8/27,30,22,rain,rain
2015/8/28,30,22,partly_cloudy_day,cloudy
2015/8/29,31,22,partly_cloudy_day,cloudy
2015/8/30,31,22,partly_cloudy_day,cloudy
2015/8/31,30,22,partly_cloudy_day,cloudy
2015/9/1,29,22,rain,rain
2015/9/2,30,22,partly_cloudy_day,cloudy
2015/9/3,29,22,partly_cloudy_day,cloudy
2015/9/4,30,23,cloudy,cloudy
2015/9/5,28,22,cloudy,cloudy
2015/9/6,28,21,partly_cloudy_day,cloudy
2015/9/7,28,21,partly_cloudy_day,cloudy
2015/9/8,28,20,partly_cloudy_day,cloudy
2015/9/9,28,19,clear_day,clear_day
2015/9/10,28,20,clear_day,clear_day
2015/9/11,27,20,partly_cloudy_day,cloudy
2015/9/12,24,16,cloudy,cloudy
2015/9/13,25,17,partly_cloudy_day,cloudy
2015/9/14,26,20,partly_cloudy_day,cloudy
2015/9/15,26,18,cloudy,cloudy
2015/9/16,27,18,partly_cloudy_day,cloudy
2015/9/17,26,18,partly_cloudy_day,cloudy
2015/9/18,27,19,partly_cloudy_day,cloudy
2015/9/19,28,20,partly_cloudy_day,cloudy
2015/9/20,26,19,partly_cloudy_day,cloudy
2015/9/21,27,20,partly_cloudy_day,cloudy
2015/9/22,26,21,rain,rain
2015/9/23,26,19,partly_cloudy_day,cloudy
2015/9/24,26,20,partly_cloudy_day,cloudy
2015/9/25,27,19,cloudy,cloudy
2015/9/26,28,18,partly_cloudy_day,cloudy
2015/9/27,27,18,clear_day,clear_day
2015/9/28,27,20,partly_cloudy_day,cloudy
2015/9/29,25,21,rain,rain
2015/9/30,26,19,rain,rain
2015/10/1,23,14,partly_cloudy_day,cloudy
2015/10/2,24,15,clear_day,clear_day
2015/10/3,25,17,partly_cloudy_day,cloudy
2015/10/4,25,19,partly_cloudy_day,cloudy
2015/10/5,23,18,cloudy,cloudy
